callsign,route
DLH6U   ,EGLL_EDDF
D9175   ,LSZX_LSZX
IBE32GR ,LEMD_LIRF
BAW726P ,EGLL_LSGG
BAW952M ,EGLL_EDDM
DMFSM   ,EDNA_EDNA
SWR2HB  ,LSZH_EHAM
BAW819K ,EKCH_EGLL
SWR693P ,EGLL_LSZH
IBE32WF ,LIRF_LEMD
UAE6VH  ,OMDB_EGLL
BAW37J  ,EGLL_KJFK
AFR44HP ,LFPG_LEBL
HB1875  ,LSPA_LSPA
BSO3JR  ,LELL_LELL
ITY1746 ,LIML_LICZ
BAW439M ,EHAM_EGLL
BAW04A  ,EGLL_KJFK
KLM50H  ,LSZH_EHAM
IRNMN2  ,EGOS_EGOS
EAX1F   ,LELL_LELL
SWR339  ,EGLL_LSZH
BAW481B ,LEBL_EGLL
VLG8DL  ,LEBL_LFPO
PH585   ,EHTE_EHTE
TAP436  ,LPPT_LFPO
AFR46WB ,LFPG_LEBL
VIR45W  ,EGLL_KJFK
BAW916N ,EGLL_EDDF
VLG3WD  ,LEBL_LFPO
EIN1HL  ,EIDW_EGLL
MBU6003 ,EDDM_EDDH
SHT8K   ,EGLL_EGPH
WMT497  ,LEBL_LIRF
DLH8U   ,EGLL_EDDF
ITY078  ,LIRF_LEBL
DLH6NT  ,EGLL_EDDM
ITY2133 ,LIML_LIRF
VLG13HY ,LEBL_LFPO
AAL44   ,KJFK_LFPG
DAL266  ,KJFK_LFPG
DLH6LT  ,EGLL_EDDM
FPTUN   ,LSZL_LSZL
HBZYZ   ,LSZL_LSZL
SHT7J   ,EGPF_EGLL
GBUFY   ,EGLD_EGLD
GDPAZ   ,EGNH_EGNH
MBU6509 ,LEPA_EDDM
WUK45Z  ,EGKK_LEMG
GCMKJ   ,EGLK_EGLK
KLM48J  ,LEBL_EHAM
GCKZD   ,EGCJ_EGCJ
AEA26QC ,LEMD_LFPO
VLG3NF  ,LFPG_LEBL
BAW475E ,LEBL_EGLL
TAP432  ,LPPT_LFPO
UAT872  ,EGXT_EGXT
KLM93Z  ,EHAM_LEBL
VLG1SQ  ,EGKK_LEBL
DLH7TH  ,EDDM_EGLL
DLH2H   ,EGLL_EDDF
IBE34PK ,LFPO_LEMD
DHABT   ,EDKB_EDKB
BSO6JR  ,LELL_LELL
GCJLL   ,EGCB_EGCB
TOM8MH  ,LEAL_EGKK
OOODK   ,EBFN_EBFN
KLM47E  ,EHAM_EIDW
ITY1745 ,LIRF_LICZ
VLG7HP  ,LEBL_LPPT
SWR815F ,EGLL_LSZH
VLG10RA ,LIMC_LEBL
AEA089  ,LEMD_LEMD
SHT9H   ,EGPH_EGLL
ZODIAC71,EGNV_EGNV
SPLINA  ,EPGL_EPGL
BAW108  ,OMDB_EGLL
DLH5H   ,EGLL_EDDF
ITY064  ,LIRF_LEMD
AEA77GB ,LEMD_LEBL
IBE34ZE ,LEMD_LFPO
HBKGP   ,LSZB_LSZB
TAP430  ,LPPT_LFPO
TAP437X ,LFPO_LPPT
BASIC41 ,LKPD_LKPD
EZY31MW ,EGKK_LEMG
DETJA   ,EDFE_EDFE
JIGSW98 ,EGVN_EGVN
EWG7K   ,LEPA_EDDK
TVF31RZ ,LPPR_LFPO
WMT7PB  ,LIMC_LEBL
TAP1033 ,LEBL_LPPT
KLM1512 ,LEBL_EHAM
VLG471V ,LEBL_LFPO
TAP668  ,LPPT_EHAM
EZY73AQ ,LEBL_EGKK
DLH7H   ,EGLL_EDDF
BASIC43 ,LKPD_LKPD
TOM9GK  ,LEPA_EGKK
SWR883P ,LSZH_EHAM
AEA193  ,LEMD_SKBO
IBS3725 ,EHAM_LEMD
DLH8E   ,EDDH_EDDM
AEA95FT ,LEMD_EHAM
AAL141  ,EGLL_KJFK
UAW84   ,EGDX_EGDX
ETH715  ,ENGM_ESSA
AFR88WN ,LFPG_LIRF
SWR438A ,EGLL_LSZH
CJKV    ,EGNU_EGNU
SHT8Y   ,EGLL_EGPH
IBE34CY ,LEMD_LFPO
EAX1J   ,LELL_LELL
DMMRN   ,EDVM_EDVM
KLM66A  ,EGLL_EHAM
KLM1919 ,EHAM_LSZH
DLH5U   ,EGLL_EDDF
PHCOB   ,EHTE_EHTE
BAW73V  ,LSGG_EGLL
AAL101  ,EGLL_KJFK
BAW955L ,EDDM_EGLL
EJU83DK ,LEPA_EGKK
GLAVN   ,EGBG_EGBG
DLH1MK  ,EGLL_EDDM
ITY079  ,LEBL_LIRF
AUA208  ,EDDF_LOWW
VLG4WP  ,EHAM_LEBL
SHT9C   ,EGPH_EGLL
UAE41   ,OMDB_EGLL
BAW8X   ,EIDW_EGLL
ITY076  ,LIRF_LEBL
TARTN38 ,EGVN_EGVN
RYR1KR  ,LEMD_LIRF
LOG929T ,EGPD_EGPD
EWG3FB  ,LEPA_EDDK
DAL267  ,LFPG_KJFK
KLM38Y  ,LSZH_EHAM
GCJBM   ,EGCJ_EGCJ
ITY075  ,LEBL_LIRF
GSJPC   ,EGTK_EGTK
AFR45JF ,LFPG_LEBL
OOKWL   ,EBZH_EBZH
DMFSI   ,EDNA_EDNA
TOM8EY  ,EGCC_LEPA
VLG425T ,LEBL_LFPG
IBE34SF ,LEMD_LFPO
DEDTG   ,EDTG_EDTG
AFR008  ,LFPG_KJFK
UAW89   ,EGDX_EGDX
AFR61PD ,LEBL_LFPG
EIN605P ,EHAM_EIDW
DHALD   ,EDKB_EDKB
ITY2059 ,LIML_LIRF
EIN60H  ,EIDW_EHAM
GOCTU   ,EGVN_EGVN
OECCD   ,LIRU_LIRU
BAW3AM  ,EHAM_EGLL
NCKL27  ,EGUB_EGUB
NCKL22  ,EGUB_EGUB
AFR85RH ,LEBL_LFPG
SYS325  ,EGOS_EGOS
DLH2HW  ,EDDF_EHAM
ETP74   ,EGDM_EGDM
SYS60   ,EGOS_EGOS
RYR8MU  ,EIDW_EGCC
RYR3EK  ,EHAM_EIDW
DLH6M   ,EDDH_EDDM
AUA207  ,LOWW_EDDF
BAW15K  ,EGLL_KJFK
IBE34SR ,LFPO_LEMD
ITY2109 ,LIML_LIRF
HBZWJ   ,LSZB_LSZB
DLH1U   ,EGLL_EDDF
BAW738  ,EGLL_LSGG
DETCA   ,EDKB_EDKB
AEE61CG ,LGAV_LFPG
KLM27G  ,EHAM_LPPT
IBE32WC ,LIRF_LEMD
SPASP   ,EPGL_EPGL
EWG9LP  ,LEPA_EDDL
VIR137Y ,EGLL_KJFK
KLM88B  ,LSZH_EHAM
VIR7B   ,EGLL_KLAX
UAU45   ,EGDM_EGDM
KLM1920 ,LSZH_EHAM
SWR8YE  ,LSZH_EHAM
DLH7E   ,EDDH_EDDM
DLH8H   ,EGLL_EDDF
VLG78FA ,LFPO_LEBL
TOM8FN  ,EGKK_LEPA
TVF82RP ,LPPT_LFPO
DLH9H   ,EGLL_EDDF
AAL137  ,EGLL_KLAX
AFR24FR ,LIRF_LFPG
DLH6AF  ,EGLL_EDDM
IBE34HR ,LEMD_LFPO
IBE32DH ,EBMB_LEMD
TAP1032 ,LPPT_LEBL
VLG6021 ,EGKK_LEBL
WIT34   ,EGXT_EGXT
TAP457  ,LFPO_LPPR
BAW21B  ,EGLL_KLAX
DLH3U   ,EGLL_EDDF
ITY077  ,LEBL_LIRF
SAS48D  ,EHAM_EKCH
IBE3402 ,LEMD_LFPO
IBE32BH ,LIRF_LEMD
BAW909U ,EDDF_EGLL
VLG70FE ,LIMC_LEBL
EJU94DA ,EGKK_LPFR
VIR3N   ,EGLL_KJFK
TAP1041 ,LEBL_LPPT
NSZ541B ,EHAM_EKCH
VLG2WB  ,LEBL_LFPO
LYGTG   ,EYVP_EYVP
IBS37BA ,LEMD_EHAM
SHT7S   ,EGPF_EGLL
TVF86FR ,LPPR_LFPO
PHWCM   ,EHTE_EHTE
KLM61N  ,EHAM_LPPT
JOKER61 ,ETHN_ETHN
ITY316  ,LIRF_LFPG
IBE32SV ,LIRF_LEMD
FHUEL   ,LFPN_LFPN
IBE32FR ,LEMD_LIRF
VLG8005 ,LFPO_LEBL
KLM39F  ,EHAM_EKCH
AUA19C  ,LOWW_EDDF
OYCAH   ,EKRK_EKRK
AFR1T   ,KJFK_LFPG
FHINE   ,LFPN_LFPN
VLG30EH ,EGKK_LEBL
KLM26J  ,LSZH_EHAM
VLG113J ,LFPO_LEBL
BAW430A ,EGLL_EHAM
KLM1579 ,EHAM_LPPT
RYR8FB  ,EIDW_EHAM
HBUCM   ,LSMA_LSMA
BAW7NY  ,EGLL_KJFK
TOM2XD  ,LEPA_EGCC
VLG3YE  ,LEBL_LFPG
DLH9EK  ,EDDF_EDDH
VLG8QD  ,LIMC_LEBL
SAS1549 ,EKCH_EHAM
TVF55DZ ,LFPO_LPPR
AFR59LZ ,LIRF_LFPG
VLG7NK  ,LEBL_LPPT
SHT8A   ,EGLL_EGPH
FLORIAN2,EDVM_EDVM
VLG3XB  ,LFPO_LEBL
RYR3102 ,EIDW_EHAM
FHAAT   ,LFPN_LFPN
OEXPH   ,LOWG_LOWG
AEA78XY ,LEMD_LIRF
AFR23JF ,LFPG_LIRF
UAU950  ,EGDM_EGDM
TOM2BG  ,EGCC_LEPA
SYS09   ,EGOS_EGOS
RYR38QT ,EIDW_EHAM
GBNYP   ,EGLK_EGLK
HBKKC   ,LSPA_LSPA
BAW680  ,EGLL_LTFM
KLM1036 ,EGCC_EHAM
FBY51C  ,LEBG_LEBG
KLM64L  ,EIDW_EHAM
EIN61V  ,EIDW_EHAM
BAW327X ,LFPG_EGLL
EJU43DA ,LEMD_LPPR
KLM77C  ,EHAM_EGLL
SAS62L  ,EHAM_EKCH
VLG95MQ ,LEBL_LPPT
EIN60T  ,EIDW_EHAM
TAP1035 ,LEBL_LPPT
RYR61FR ,LEMD_LIRF
RYR8YB  ,LEBL_LIRF
SAS554  ,EHAM_EKCH
UAE62T  ,OMDB_EGLL
CWL18   ,EGYD_EGYD
ITY1741 ,LIRF_LICZ
TAP39ZL ,LEBL_LPPT
TAP1031 ,LEBL_LPPT
VLG8WD  ,LEBL_EHAM
SHT7B   ,EGPF_EGLL
RYR982B ,EHAM_EIDW
WIT30   ,EGXT_EGXT
FHHGB   ,LFMA_LFMA
PCH350  ,LSZC_LSZC
SWR81C  ,EGLL_LSZH
EJU16FG ,LEPA_EGKK
VLG9GP  ,LEBL_LPPT
KLM41H  ,EHAM_LEBL
TVF64RY ,LPPR_LFPO
DLH8CX  ,EDDM_EDDH
VLG4VG  ,LIMC_LEBL
KLM29K  ,EHAM_LEBL
AEE4CA  ,LGAV_LFPG
TAP37HG ,LEBL_LPPT
AEA78SK ,LEMD_LFPO
AFR94WU ,LIRF_LFPG
AEE616  ,LGAV_LFPG
EZY35WT ,LEPA_EGKK
DLH3M   ,EDDH_EDDM
EWG46FH ,LEPA_EDDL
VIR25B  ,EGLL_KJFK
EJU91GX ,EGKK_LEMG
OEDHF   ,LOGG_LOGG
DLH1E   ,EDDH_EDDM
KLM88C  ,EIDW_EHAM
EWG50BK ,LEPA_EDDM
DEMFZ   ,EDFE_EDFE
SPOKS   ,EPBC_EPBC
MBU6513 ,LEPA_EDDM
KLM1271 ,EHAM_EKCH
KLM82Z  ,LEMD_EHAM
SXS6DA  ,LTAI_EDDL
AFR81ZA ,LFPG_LIRF
SAS506  ,EGLL_EKCH
AUA218  ,EDDF_LOWW
FHADF   ,LFPN_LFPN
DLH4A   ,EHAM_EDDF
PGT31FP ,EDDL_LTAI
DEAPP   ,EDVM_EDVM
KLM1142 ,EIDW_EHAM
HBKTR   ,LSZI_LSZI
SPTPE   ,EPBC_EPBC
SPTHD   ,EPML_EPML
VLG97MK ,EGKK_LEMG
PH1312  ,EHDB_EHDB
EIN60Y  ,EHAM_EIDW
VLG1HF  ,LEBL_LFPG
AFR74WY ,EGLL_LFPG
EZY57FX ,EHAM_EGCC
KLM55C  ,EHAM_EKCH
JOKER25 ,ETHN_ETHN
IBE30ZB ,LEMD_LEBL
PHGLD   ,EHSE_EHSE
AFR55SP ,LFPG_LEBL
VYT93   ,EGOV_EGOV
DLH7VA  ,EDDM_EDDH
RYR14FV ,LEBL_LIRF
GWARX   ,EGLM_EGLM
KLM1135 ,EHAM_EIDW
DEJKN   ,EDPM_EDPM
DLH3VV  ,EDDF_EHAM
IBE30AY ,LEBL_LEMD
KLM1855 ,EHAM_EDDM
TAP452  ,LPPR_LFPO
SAS54P  ,EHAM_EKCH
EWG4LL  ,EDDL_LEPA
RYR52HN ,EHAM_EIDW
SYS323  ,EGOS_EGOS
OYCDR   ,EKRK_EKRK
DLH5A   ,EHAM_EDDF
AFR13HY ,LGAV_LFPG
TAP454  ,LPPR_LFPO
SHT9D   ,EGPH_EGLL
SHT7Z   ,EGPF_EGLL
BAW812  ,EGLL_EKCH
SHT9A   ,EGPH_EGLL
BAW308  ,EGLL_LFPG
EIN1LK  ,EGLL_EIDW
DMPYL   ,EDNA_EDNA
OKAUA77 ,LKHK_LKHK
EZY78HP ,LEPA_EGKK
EWG65T  ,LEPA_EDDM
VLG6GD  ,LPPT_LEBL
DLH7A   ,EHAM_EDDF
VLG7UR  ,LEBL_LFPG
TAP1030 ,LPPT_LEBL
DLH1M   ,EDDH_EDDM
ETH714  ,ESSA_ENGM
VLG44NK ,LEBL_LIMC
KLM77K  ,EHAM_EDDF
ITY324  ,LIRF_LFPG
RVP310  ,LPSO_LPSO
RYR76QH ,EIDW_EHAM
EIN15M  ,EGLL_EIDW
RYR62JQ ,LIRF_LEMD
THY6ZK  ,LTFM_LTFE
DLH008  ,EDDF_EDDH
TAP1923 ,LPPR_LPPT
AAL91   ,EGLL_KORD
SAS42E  ,EKCH_ESSA
THY3EW  ,LTFM_LTFE
DLH1WU  ,EDDF_EDDH
AOS59   ,EGBJ_EGBJ
SAS58E  ,EKCH_ESSA
DESHF   ,EDDV_EDDV
BAW948M ,EGLL_EDDM
VLG3840 ,LEPA_EDDM
BAW44E  ,EGLL_EHAM
IBE30EL ,LEBL_LEMD
EAX2E   ,LELL_LELL
AEA66YW ,LEMD_LIRF
DLH4WC  ,EDDF_EHAM
TUI6VJ  ,LEPA_EDDL
EJU16KC ,EGKK_LEMG
KLM31K  ,EHAM_EKCH
IBE30BZ ,LEMD_LEBL
AUA203  ,LOWW_EDDF
AEA7701 ,LEMD_LEBL
HBZOX   ,LSZL_LSZL
BAW676  ,EGLL_LTFM
AFR61YY ,LIRF_LFPG
GRIEF   ,EGNU_EGNU
IBE34VV ,LFPO_LEMD
IBE34DP ,LFPO_LEMD
IBE3090 ,LEMD_LPPR
AEA17BR ,LPPT_LEMD
SYS84   ,EGOS_EGOS
AAL107  ,EGLL_KJFK
SWR1ST  ,EGLL_LSGG
FGNNA   ,LFPL_LFPL
PHAPW   ,EHTE_EHTE
FIN1NX  ,EFHK_ESSA
TAP1036 ,LPPT_LEBL
AEA91NQ ,LEMD_LFPO
UAA122  ,EGQL_EGQL
TRA20A  ,EHAM_LEBL
VLG154B ,LPPT_LEBL
SAS41D  ,EGLL_EKCH
VLG3NZ  ,LEIB_LEBL
GCMCG   ,EGTK_EGTK
SYS31   ,EGOS_EGOS
DETCY   ,EDFE_EDFE
DLH7JW  ,EDDM_EDDH
DLH2LA  ,EDDM_EHAM
AFR011  ,KJFK_LFPG
EFW79S  ,EGKK_LPFR
IBE3118 ,LEMD_LPPT
VLG54EK ,LEBL_EGKK
N224W   ,EGTK_EGTK
SAS1428 ,EKCH_ESSA
EJU12FP ,EHAM_EKCH
TVF7668 ,LFPO_LPPT
VLG82CP ,LFPG_LEBL
DLH3A   ,EHAM_EDDF
GLYZA   ,EGKR_EGKR
DEDRP   ,EDFE_EDFE
WMT3HH  ,LIRF_LEMD
TAP442  ,LPPT_LFPO
SAS46M  ,EKCH_ESSA
FBY899S ,LEBG_LEBG
IBS39ZN ,LEMD_LEMD
GWACY   ,EGLD_EGLD
DLH3FM  ,EDDF_EDDH
TVF59VK ,LFPO_LEMD
NCKL60  ,EGUB_EGUB
TUI2BG  ,EDDL_LEPA
VLG5QW  ,LEBL_EGKK
SWR2DV  ,EHAM_LSZH
TVF82AE ,LEMD_LFPO
VLG4MH  ,EGKK_LEBL
DLH3CP  ,EHAM_EDDM
BAW16UP ,EGLL_LFPG
KLM1140 ,EIDW_EHAM
HBKOJ   ,LSGL_LSGL
EAX2J   ,LELL_LELL
KLM84V  ,EGLL_EHAM
DLH1A   ,EHAM_EDDF
FBY913S ,LEBG_LEBG
GBSSC   ,EGSH_EGSH
ECMLY   ,LELL_LELL
KLM88T  ,EGLL_EHAM
AFR1448 ,LFPG_LEBL
SWR4SM  ,EGLL_LSZH
IBS3722 ,LEMD_EHAM
VLG52KZ ,LEBL_LIRF
DESXT   ,EDFE_EDFE
IBE30EV ,LEBL_LEMD
TARTN39 ,EGVN_EGVN
EAX4J   ,LELL_LELL
EWG5YN  ,LEPA_EDDL
BAW4CK  ,EGLL_EHAM
SYS25   ,EGOS_EGOS
BAW3ET  ,EGLL_EHAM
BAW961L ,EDDM_EGLL
VLG38DF ,EGKK_LEBL
RYR50VT ,EHAM_EIDW
EAX6G   ,LELL_LELL
AFR012  ,LFPG_KJFK
ABR257  ,LEBL_LIRF
BAW9MS  ,EGLL_EHAM
AEE612  ,LGAV_LFPG
HB3064  ,LSPA_LSPA
EFW9TW  ,EGKK_LPFR
VLG3ST  ,LPPT_LEBL
AFR59NF ,LGAV_LFPG
TOM3EW  ,LEPA_EGCC
TAP453  ,LFPO_LPPR
TVF663Q ,LFPO_LPPT
IBE30AZ ,LEMD_LEBL
EAI66L  ,EIDW_EGCC
SHT7C   ,EGPF_EGLL
PHEFA   ,EHSE_EHSE
BAW8TD  ,EGLL_EKCH
EZY21PU ,EGCC_EHAM
VLG39TQ ,LEBL_LIMC
DLH2PC  ,EDDF_EHAM
IBS3807 ,LEIB_LEMD
AFR44HU ,EGLL_LFPG
RSQ01   ,EHAM_EHAM
KLM71Z  ,EHAM_LEBL
KLM54D  ,LSZH_EHAM
BAW407B ,LEBL_EGLL
KLM1504 ,LEMD_EHAM
PHVSY   ,EHRD_EHRD
ITY1721 ,LIML_LICZ
SWR70T  ,EHAM_LSZH
SXS5EX  ,EDDL_LTAI
GBNNT   ,EGTK_EGTK
KLM79C  ,EHAM_EKCH
SAS91K  ,EKCH_ENGM
BAW326  ,EGLL_LFPG
ECNIK   ,LELL_LELL
DLH6EU  ,EDDM_EDDH
TVF7622 ,LFPO_LPPR
KLM47V  ,EDDF_EHAM
WMT272  ,LEBL_LIMC
AEA72PM ,LFPO_LEMD
GTOOO   ,EGBG_EGBG
ZXP03   ,EHAM_EHAM
KLM64J  ,EHAM_LPPT
SFY1TM  ,EGBJ_EGBJ
THY8MK  ,LTFM_LTFE
SWR92E  ,EGLL_LSGG
EWG7PM  ,LEPA_EDDM
VLG4AA  ,LEIB_LEBL
KLM1857 ,EHAM_EDDM
VLG8GW  ,LEIB_LEBL
IBE34CK ,LFPO_LEMD
BAW950M ,EGLL_EDDM
OEAAM   ,LOWG_LOWG
HBKGG   ,LSZL_LSZL
VYT892  ,EGOV_EGOV
EWG6FE  ,EDDL_LEPA
CALIBRA ,LFBD_LFBD
KLM66C  ,EGLC_EHAM
GCJDA   ,EGCB_EGCB
DLH9VA  ,EDDF_EDDH
VLG9JQ  ,LFPG_LEBL
EIHDV   ,EGTR_EGTR
DLH9M   ,EDDH_EDDM
IBS3908 ,LEMD_LEMD
ADM478  ,LPEV_LPEV
EZY18EV ,LEMG_EGKK
AUA209N ,LOWW_EDDF
BAW712T ,EGLL_LSZH
OKEMD   ,LKLT_LKLT
KLM41J  ,EGLL_EHAM
RYR4CX  ,LEBL_LIRF
ITY2075 ,LIML_LIRF
MTEOR1  ,EGOV_EGOV
VLG2BY  ,LEIB_LEBL
EWG7BP  ,LEPA_EDDL
SAS1408 ,EKCH_ESSA
DLH2HT  ,EHAM_EDDM
KLM32P  ,EGCC_EHAM
FBY945S ,LEBG_LEBG
UAL929  ,KORD_EGLL
AEA51CN ,LEMD_LPPR
ZODIAC75,EGNV_EGNV
IBE30AH ,LEMD_LEBL
TVF29XQ ,LPPT_LFPO
DHBBB   ,EDWN_EDWN
SXS8XH  ,LTAI_EDDK
DLH4E   ,EDDH_EDDM
ANE52BV ,LPPR_LEMD
DLH4LY  ,EDDM_EHAM
SHT8G   ,EGLL_EGPH
EIN2MW  ,EIDW_EGCC
SAS1430 ,EKCH_ESSA
KLM50A  ,EGCC_EHAM
ITY332  ,LIRF_LFPG
TVF81MJ ,LEBL_LFPO
KLM96H  ,EDDF_EHAM
EWG6YZ  ,LEPA_EDDK
PHKIO   ,EHGG_EHGG
BAW688  ,EGLL_LTFM
BAW954M ,EGLL_EDDM
IBE3239 ,LIRF_LEMD
KLM1034 ,EGCC_EHAM
WMT9FZ  ,LEMD_LIRF
TVF82BL ,LFPO_LPPR
RYR70KG ,LEMD_LIRF
BAW183  ,EGLL_KJFK
KLM1137 ,EHAM_EIDW
DLH9FY  ,EDDM_EDDH
BLNHM60 ,EGVN_EGVN
SCQ3F   ,ENGK_ENGK
EZY56HB ,LEAL_EGKK
VLG86YL ,LFPO_LEBL
FHBTI   ,LFPN_LFPN
SHT9G   ,EGPH_EGLL
DLH1J   ,LFPG_EDDF
KLM50W  ,EGLC_EHAM
BAW78H  ,EGLL_LSGG
DKKOV   ,EDMA_EDMA
DLH2NE  ,EDDM_EDDH
ITY2029 ,LIML_LIRF
HBPEN   ,LSZB_LSZB
DLH8RL  ,EDDL_EDDM
AEA50QN ,LEMD_LPPR
SAS500  ,EGLL_EKCH
AFR93NX ,LGAV_LFPG
EWG6U   ,EDDL_LEPA
ITY1739 ,LIRF_LICZ
DLH6LF  ,EDDF_EDDH
VLG8BH  ,EHAM_LEBL
RYR18FK ,LIMC_LEBL
KLM48F  ,EGCC_EHAM
KLM61U  ,EHAM_LSZH
RVP104  ,LPSO_LPSO
AFR52TA ,LIRF_LFPG
AFR37YA ,LFPG_EHAM
KLM1145 ,EHAM_EIDW
EJU68DF ,LPPR_LFPO
FIN6EH  ,ESSA_EFHK
GBRDM   ,EGLM_EGLM
RYR97VP ,LEPA_EDDK
VLG9XW  ,LEIB_LEBL
DLH9E   ,EDDH_EDDM
KLM1035 ,EHAM_EGCC
TVF4800 ,LFPO_LEBL
AFR93GG ,EGLL_LFPG
ITY1753 ,LIRF_LICZ
TAP1925 ,LPPR_LPPT
EJU48GV ,LFPO_LPPR
AFR25AP ,EGLL_LFPG
VLG9UB  ,LEMD_LEBL
DLH2J   ,LFPG_EDDF
DLH6CH  ,EDDF_EDDH
RVP301  ,LPSO_LPSO
RYR8RE  ,LIRF_LEBL
NOZ52K  ,ENGM_ENVA
TVF7669 ,LPPT_LFPO
TAP11WQ ,LEMD_LPPT
AFR76UX ,LFPG_EHAM
RYR2ZJ  ,LIRF_LICZ
KLM1508 ,LEMD_EHAM
TAP1023 ,LEMD_LPPT
TAP455  ,LFPO_LPPR
BAW299  ,EGLL_KORD
DLH32F  ,LEMD_EDDF
BSO5JR  ,LELL_LELL
SAS78C  ,EGLL_EKCH
AHY077  ,OMDB_LTFM
RYR562  ,EIDW_EGCC
UAE4CK  ,OMDB_EGLL
THY3XE  ,LTFM_LTFE
AEA120  ,LEMD_LEMD
AUA210  ,EDDF_LOWW
TAP27PL ,LPPR_LPPT
AOS57   ,EGBJ_EGBJ
KLM30B  ,EGLC_EHAM
ITY318  ,LIRF_LFPG
CWL52   ,EGYD_EGYD
PGT79ZP ,LTAI_EDDL
AEA1040 ,LIRF_LEMD
BAW3VH  ,EGLL_LFPG
CLB226  ,EGNV_EGNV
THY6JD  ,LTFM_LTFE
DIPCG   ,EDDV_EDDV
EIN60G  ,EIDW_EHAM
TAP1034 ,LPPT_LEBL
IBS3720 ,LEMD_EHAM
AUA21FA ,LOWW_EDDF
KLM1817 ,EHAM_EDDF
EDW214A ,LSZH_LSZH
AUA21M  ,LOWW_EDDF
SAS43C  ,ENGM_EKCH
KLM1038 ,EGCC_EHAM
AEA1142 ,LPPR_LEMD
IBE30DD ,LPPR_LEMD
SHT8N   ,EGLL_EGPH
AEA53UP ,LEMD_LPPT
NSZ3210 ,EKCH_ESSA
TAP1013 ,LEMD_LPPT
ITY074  ,LIRF_LEBL
UAU973  ,EGDM_EGDM
OOVOL   ,EBSP_EBSP
TVF87BK ,LFPO_LPPR
DLH11J  ,EDDF_LOWW
KLM90N  ,EGLC_EHAM
EAX1KS  ,LELL_LELL
SHT9E   ,EGPH_EGLL
TOM4LW  ,EGKK_LEAL
SAS49K  ,EGLL_EKCH
EWG3JK  ,EDDL_LEPA
RYR13NM ,LEPA_EDDK
FIN5LA  ,EFHK_ESSA
AUA200  ,EDDF_LOWW
THY7UL  ,LTFM_LTFE
GLACB   ,EGCB_EGCB
DLH4H   ,EGLL_EDDF
DLH6UJ  ,EDDF_EDDH
SAS709  ,EFHK_ESSA
SAS88E  ,ENGM_ENBR
RYR9NH  ,LIRF_LEBL
KLM20C  ,EHAM_EDDM
AAL87   ,EGLL_KORD
RYR86MJ ,LEPA_EDDK
KLM29M  ,EHAM_LEMD
VLG7TD  ,LEBL_LIMC
TVF55WP ,LPPR_LFPO
GOBBI   ,EGNH_EGNH
ANE86AT ,LEMD_LPPR
RYR2EM  ,LEIB_LEBL
AUA220  ,EDDF_LOWW
KLM40C  ,EDDM_EHAM
N603DP  ,EDML_EDML
WMT436  ,LIRF_LEBL
BAW7GV  ,EGLL_LSGG
SAS1415 ,ESSA_EKCH
DLH005  ,EDDH_EDDF
BAW834  ,EGLL_EIDW
AFR83VG ,LFPG_EHAM
BAW14R  ,EGLL_LSZH
EJU92DC ,LEPA_EGKK
AUA2LU  ,EDDF_LOWW
AUA212  ,EDDF_LOWW
CWL48   ,EGYD_EGYD
RYR54XE ,EGCC_EIDW
RYR62YA ,LIRF_LEMD
UAA99   ,EGQL_EGQL
AFR12ND ,EGLL_LFPG
KLM95B  ,EHAM_EKCH
NOZ54Z  ,ENGM_ENVA
AFR16UK ,LFMN_LFPO
AFR14QL ,LFPG_LIRF
DLH8HP  ,EDDF_EDDH
DEZHK   ,EDTG_EDTG
BAW406L ,EGLL_LEBL
EAX5E   ,LELL_LELL
RYR93NF ,LEBL_LIMC
KLM982  ,EGLC_EHAM
PHTDX   ,EHAM_EHAM
SCQZ5U  ,ENGK_ENGK
KLM7932 ,EHGG_EHGG
EWG33RF ,LEPA_EDDM
FHY1194 ,EDDL_LTAI
BAW442K ,EGLL_EHAM
VYT70   ,EGOV_EGOV
AFR29RR ,LIRF_LFPG
EWG9AX  ,EDDK_LEPA
EZY84WL ,EGKK_LEPA
SAS1474 ,EKCH_ENGM
AFR49EV ,LGAV_LFPG
UAT73   ,EGXT_EGXT
AAL47   ,EGLL_KORD
RYR1BL  ,LEBL_LIRF
RYR92HH ,LIRF_LEMD
NSZ3206 ,EKCH_ESSA
LFA103  ,EGTC_EGTC
DLH2F   ,LFPG_EDDF
HB2459  ,LSPA_LSPA
EWG3YH  ,LEPA_EDDL
AEA1146 ,LPPR_LEMD
VLG6HJ  ,LIRF_LEBL
SAS1410 ,EKCH_ESSA
DLH6J   ,LFPG_EDDF
SWR3PB  ,EHAM_LSZH
TAP1017 ,LEMD_LPPT
VLG2MR  ,LEBL_LIMC
EJU68CZ ,LEMD_LPPT
AAL99   ,EGLL_KORD
IBE30MC ,LEBL_LEMD
GRRGN   ,EGNX_EGNX
EIN2EM  ,EIDW_EGCC
DLH47F  ,LEMD_EDDF
EAI33CB ,EIDW_EGCC
TAP21MM ,LEMD_LPPT
EAI50E  ,EIDW_EGPH
BAW487E ,LEBL_EGLL
KLM43Y  ,EHAM_EIDW
TAP1010 ,LPPT_LEMD
VLG63XX ,LEBL_LIRF
IBS37LN ,EHAM_LEMD
